AGE,GENDER,EDUCATION,GUESS 1,N,S,GUESS 2,TIME1,TIME2
18,1,2,75,2,66,75,25,24
23,2,3,80,50,67,80,5,8
17,2,2,95,2,129,95,101,29
18,2,2,102,5,120,104,6,7
19,1,3,112,50,169,112,38,12
20,2,3,115,10,216,115,18,12
27,2,4,115,100,91,110,36,19
62,2,4,120,50,134,120,82,53
23,1,3,120,100,238,120,6,4
23,1,3,121,50,177,131,4,33
20,2,3,125,10,176,190,9,19
21,2,3,125,1,90,115,13,10
18,1,2,130,5,184,160,91,82
22,2,3,132,5,66,132,25,6
18,1,3,142,10,84,143,11,10
20,2,3,144,50,197,190,90,16
20,1,3,147,10,78,147,8,10
21,2,2,150,5,273,275,149,27
17,2,2,152,5,227,187,32,32
42,-1,-1,152,2,81,152,16,14
21,1,3,154,100,120,154,27,9
20,1,2,157,50,115,137,36,15
18,2,3,160,50,297,190,112,31
21,2,3,166,100,242,280,26,34
20,2,3,167,2,93,144,45,11
22,1,3,173,50,287,173,14,3
18,2,3,174,2,270,196,13,16
19,1,3,175,1,183,172,29,16
19,1,3,175,2,280,150,33,20
27,1,4,176,10,119,154,83,33
21,-1,-1,180,5,356,200,35,24
18,1,3,180,100,129,180,65,16
21,2,3,185,50,298,210,11,21
22,2,3,189,1,235,210,7,11
21,1,3,196,10,144,256,67,23
19,2,3,200,1,349,250,6,10
20,1,3,200,2,217,239,38,11
20,2,3,200,10,345,225,230,24
30,1,3,200,5,254,220,15,14
20,1,3,200,1,146,200,39,9
19,1,3,200,100,143,200,17,9
21,1,3,200,100,184,195,9,12
17,1,2,200,5,107,188,8,10
18,2,2,200,5,145,150,32,38
17,1,2,204,2,198,210,62,16
18,1,3,208,10,250,208,33,7
19,-1,-1,210,50,162,190,23,11
20,2,3,211,1,247,215,14,8
18,2,2,212,2,124,152,12,11
18,1,2,217,50,132,217,97,30
51,1,3,220,100,344,400,54,70
20,1,2,220,50,180,220,6,9
17,2,2,223,100,350,287,53,50
17,2,2,224,10,207,215,13,15
18,1,3,230,100,303,500,75,121
20,1,3,237,2,157,237,43,10
